gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
RpI135,chr2L:404304-407969,warm,cold,OK,2.36848,2.24388,-0.0779642,-0.223794,0.64325,0.783271,no
ebi,chr2L:415066-419652,warm,cold,OK,11.7176,11.9967,0.0339635,0.126274,0.78385,0.879126,no
RpLP1,chr2L:419927-421654,warm,cold,OK,548.003,548.613,0.00160384,0.0100264,0.9895,0.993079,no
CG13692,chr2L:421770-422489,warm,cold,OK,2.19978,0.908055,-1.27651,-1.83662,0.00955,0.0281639,yes
BBS8,chr2L:423416-425321,warm,cold,NOTEST,0.397573,0.194444,-1.03186,0,1,1,no
ex,chr2L:431175-453043,warm,cold,OK,6.32199,11.4198,0.85309,1.44164,0.0083,0.0250207,yes
CR43717,chr2L:431175-453043,warm,cold,OK,2.34509,2.58792,0.142151,0.0663657,0.9304,0.963326,no
CG4164,chr2L:453107-454654,warm,cold,OK,31.0672,57.8046,0.895791,4.13795,5.00E-05,0.000245228,yes
CG4133,chr2L:455530-458796,warm,cold,OK,2.39247,3.45742,0.531194,1.36711,0.0031,0.0106209,yes
"MED15,ush",chr2L:458875-542670,warm,cold,OK,13.44,15.7338,0.227334,0.447901,0.3425,0.513946,no
nAcRbeta-21C,chr2L:545128-552475,warm,cold,OK,3.92012,3.2773,-0.258389,-0.457888,0.39275,0.565032,no
CG2789,chr2L:553452-563602,warm,cold,OK,62.066,234.349,1.91678,7.62801,5.00E-05,0.000245228,yes
CG2794,chr2L:564162-568130,warm,cold,OK,25.9659,31.323,0.270603,1.10794,0.0233,0.0607424,no
Nle,chr2L:564162-568130,warm,cold,OK,2.37457,1.40668,-0.755369,-0.161948,0.71715,0.835473,no
"CG2807,cold",chr2L:568327-576973,warm,cold,OK,29.9792,39.3744,0.393298,1.42466,0.0065,0.0202025,yes
Pph13,chr2L:577485-579549,warm,cold,OK,2.22166,1.41,-0.655943,-1.43698,0.00475,0.015514,yes
CG13689,chr2L:602790-604430,warm,cold,OK,4.42266,6.11891,0.468361,0.853415,0.05245,0.119292,no
CR43648,chr2L:606040-606571,warm,cold,OK,1.74229,1.54524,-0.173159,-0.268076,0.6964,0.820356,no
lectin-21Ca,chr2L:624616-625556,warm,cold,OK,17.0305,3.64035,-2.22597,-6.25421,5.00E-05,0.000245228,yes
CG2839,chr2L:625662-628200,warm,cold,OK,2.79051,0.99072,-1.49398,-3.11609,5.00E-05,0.000245228,yes
Hsp60B,chr2L:728411-730564,warm,cold,OK,240.9,209.93,-0.198528,-0.921323,0.06445,0.141836,no
GABA-B-R3,chr2L:750608-762142,warm,cold,OK,3.73159,3.0978,-0.268543,-0.840574,0.06275,0.138948,no
CG12506,chr2L:773546-774017,warm,cold,OK,105.264,38.3211,-1.45779,-8.1894,5.00E-05,0.000245228,yes
CG13946,chr2L:776535-776892,warm,cold,OK,54.8353,21.3441,-1.36127,-7.26268,5.00E-05,0.000245228,yes
CG13947,chr2L:779172-779655,warm,cold,OK,33.9782,3.92724,-3.11302,-9.49031,5.00E-05,0.000245228,yes
Gr21a,chr2L:780481-782885,warm,cold,NOTEST,0.111901,0.0175667,-2.67131,0,1,1,no
CG3544,chr2L:784273-790811,warm,cold,OK,31.589,26.4193,-0.257833,-0.966469,0.0551,0.124528,no
Nnf1b,chr2L:810576-811531,warm,cold,NOTEST,1.45045,1.17584,-0.302803,0,1,1,no
KH1,chr2L:811583-815950,warm,cold,OK,2.81771,3.44447,0.289761,0.458678,0.33255,0.50336,no
Pex12,chr2L:815992-819549,warm,cold,OK,1.91075,0.884968,-1.11044,-0.935597,0.0659,0.144542,no
"CG3662,Clp",chr2L:819961-825894,warm,cold,OK,265.37,185.279,-0.518303,-2.46043,5.00E-05,0.000245228,yes
dock,chr2L:825968-833241,warm,cold,OK,14.1355,13.301,-0.0877929,-0.343962,0.4441,0.615458,no
drongo,chr2L:833541-851172,warm,cold,OK,42.357,82.4594,0.961085,2.02098,0.0009,0.003546,yes
drongo,chr2L:833541-851172,warm,cold,OK,35.1407,53.5919,0.608874,1.22674,0.20245,0.348067,no
CR44060,chr2L:833541-851172,warm,cold,OK,12.7903,42.8729,1.74501,1.40902,0.00265,0.00924801,yes
kraken,chr2L:852767-854743,warm,cold,OK,42.7392,23.0305,-0.892017,-3.28752,5.00E-05,0.000245228,yes
CG13949,chr2L:855336-856639,warm,cold,OK,7.52146,8.36965,0.154154,0.317487,0.46995,0.63966,no
mir-375,chr2L:857271-859631,warm,cold,OK,17.723,55.3006,1.64167,0.318568,0.3663,0.538717,no
CG13950,chr2L:860123-868354,warm,cold,OK,5.47571,2.61207,-1.06785,-1.2448,0.02745,0.0700019,no
PNUTS,chr2L:870463-877087,warm,cold,OK,64.2327,84.8669,0.401893,1.69077,5.00E-05,0.000245228,yes
ninaA,chr2L:877164-885189,warm,cold,OK,13.8867,8.06138,-0.784602,-0.799347,0.0814,0.171751,no
Lsp1beta,chr2L:898643-901316,warm,cold,OK,7.77311,18.5068,1.25149,4.80676,5.00E-05,0.000245228,yes
GluRIIC,chr2L:914085-917805,warm,cold,OK,4.64594,2.87338,-0.693222,-2.16006,5.00E-05,0.000245228,yes
CG4341,chr2L:922792-958098,warm,cold,OK,3.96986,4.33535,0.127059,0.420703,0.35475,0.526711,no
CG4415,chr2L:1008365-1048053,warm,cold,OK,5.58193,5.02184,-0.152551,-0.0619802,0.88765,0.940504,no
ast,chr2L:1077947-1080803,warm,cold,OK,9.14309,7.88386,-0.213778,-0.796866,0.0937,0.192715,no
Atg4,chr2L:1080910-1102506,warm,cold,OK,15.8885,16.8184,0.0820533,0.246541,0.582,0.73622,no
CG14339,chr2L:1108539-1112694,warm,cold,OK,6.69675,5.52076,-0.278594,-1.0078,0.0333,0.0816779,no
CG14340,chr2L:1112940-1114138,warm,cold,OK,0.731193,1.6716,1.1929,1.77921,0.0046,0.0150908,yes
CG4552,chr2L:1129172-1134134,warm,cold,OK,27.4318,21.5378,-0.348984,-1.13563,0.016,0.0442283,yes
CG4577,chr2L:1134692-1141156,warm,cold,OK,32.2776,19.9874,-0.691444,-2.5666,5.00E-05,0.000245228,yes
MFS3,chr2L:1143200-1147395,warm,cold,OK,4.37379,5.69568,0.380984,1.23324,0.0183,0.0496228,yes
CG4749,chr2L:1147821-1158313,warm,cold,OK,1.34467,1.1547,-0.219731,-0.146626,0.78155,0.878269,no
CG4764,chr2L:1147821-1158313,warm,cold,OK,14.7558,14.7032,-0.00514919,-0.00990692,0.98465,0.990769,no
capt,chr2L:1147821-1158313,warm,cold,NOTEST,0.0793658,0.199863,1.33242,0,1,1,no
capt,chr2L:1147821-1158313,warm,cold,OK,0.968692,2.66306,1.45898,0.225528,0.5514,0.712067,no
Tango14,chr2L:1158575-1163886,warm,cold,OK,5.08403,1.97696,-1.36268,-1.3912,0.0252,0.0651354,no
"CG14341,CG31922,CG4785",chr2L:1164442-1172823,warm,cold,OK,18.4835,21.725,0.233119,0.422107,0.5093,0.675381,no
"CG4887,CG4896,Tgt",chr2L:1173008-1185698,warm,cold,OK,36.2193,25.5498,-0.503444,-1.9524,5.00E-05,0.000245228,yes
CG5001,chr2L:1185756-1196862,warm,cold,OK,23.9862,41.493,0.790663,3.12708,5.00E-05,0.000245228,yes
CG43348,chr2L:1199411-1199924,warm,cold,OK,4.50194,7.39368,0.715746,1.84231,0.0111,0.0321337,yes
CG43349,chr2L:1200204-1200663,warm,cold,OK,48.3533,31.7643,-0.60621,-1.57316,0.00115,0.00441905,yes
CG5011,chr2L:1200670-1201220,warm,cold,OK,42.8846,64.5138,0.589148,1.76001,5.00E-05,0.000245228,yes
CG14342,chr2L:1204214-1205250,warm,cold,NOTEST,0.491131,0.182696,-1.42666,0,1,1,no
CG42329,chr2L:1219292-1229802,warm,cold,OK,3.01631,0.294417,-3.35685,-5.13097,5.00E-05,0.000245228,yes
CG5397,chr2L:1240035-1243018,warm,cold,OK,31.0146,34.9519,0.172422,0.71207,0.11605,0.228695,no
robo3,chr2L:1256416-1296596,warm,cold,OK,2.32181,3.23619,0.479044,1.5265,0.00065,0.00263026,yes
a5,chr2L:1329160-1329904,warm,cold,OK,7.45294,6.38753,-0.222551,-0.592099,0.35685,0.528766,no
CG5440,chr2L:1334244-1334932,warm,cold,OK,14.9506,13.3668,-0.161558,-0.599452,0.3668,0.539117,no
Cdlc2,chr2L:1344479-1345144,warm,cold,OK,213.686,215.188,0.0101021,0.0428838,0.9229,0.959933,no
CG14346,chr2L:1368088-1369050,warm,cold,OK,35.1897,32.1291,-0.131273,-0.456175,0.3009,0.467917,no
CG43401,chr2L:1428509-1428981,warm,cold,OK,17.1045,19.4432,0.184884,0.752498,0.33865,0.509981,no
snRNA:U3:22A,chr2L:1432710-1432921,warm,cold,NOTEST,0.617196,0.594165,-0.054865,0,1,1,no
CG43402,chr2L:1442725-1443316,warm,cold,OK,61.0881,148.268,1.27925,6.89409,5.00E-05,0.000245228,yes
CG31928,chr2L:1492294-1493859,warm,cold,NOTEST,0.601126,0.72109,0.262511,0,1,1,no
CG33128,chr2L:1494069-1495456,warm,cold,NOTEST,0,0.0540003,inf,0,1,1,no
CG31926,chr2L:1495459-1497071,warm,cold,NOTEST,0.0323059,0.0469579,0.539571,0,1,1,no
CG31661,chr2L:1497242-1500608,warm,cold,NOTEST,0.0949621,0.0197702,-2.26402,0,1,1,no
CR44064,chr2L:1500829-1504204,warm,cold,OK,2.95751,3.25572,0.138594,0.175239,0.74415,0.853718,no
Or22a,chr2L:1520490-1522156,warm,cold,NOTEST,0.142788,0.201596,0.497598,0,1,1,no
Or22b,chr2L:1522696-1524257,warm,cold,NOTEST,0.734744,0.907435,0.304553,0,1,1,no
haf,chr2L:1555128-1611157,warm,cold,OK,1.27028,4.61165,1.86014,1.26958,0.0153,0.042562,yes
CG14352,chr2L:1611409-1614160,warm,cold,OK,4.11607,4.01537,-0.0357336,-0.025263,0.95925,0.977443,no
chinmo,chr2L:1651257-1704682,warm,cold,OK,8.19488,9.75044,0.250745,0.754261,0.08035,0.170051,no
cpb,chr2L:1704901-1706962,warm,cold,OK,20.1955,26.0542,0.367484,1.36058,0.00185,0.00673452,yes
mRpL48,chr2L:1710461-1715851,warm,cold,OK,8.74367,10.3138,0.238269,0.516159,0.42345,0.596565,no
Eno,chr2L:1724694-1729636,warm,cold,OK,244.363,383.908,0.651732,1.78962,0.00095,0.00372561,yes
Rrp40,chr2L:1724694-1729636,warm,cold,OK,5.56159,3.2472,-0.776303,-0.188913,0.73535,0.847578,no
CG31937,chr2L:1729706-1732393,warm,cold,OK,36.5611,22.4869,-0.701226,-2.7948,5.00E-05,0.000245228,yes
CG17652,chr2L:1729706-1732393,warm,cold,OK,1.49167,1.0265,-0.539193,-0.0570592,0.82155,0.902035,no
CG17646,chr2L:1732523-1752122,warm,cold,OK,73.7986,29.6634,-1.31491,-5.78827,5.00E-05,0.000245228,yes
CG17648,chr2L:1752307-1752848,warm,cold,OK,25.2037,21.3048,-0.24246,-1.03475,0.1432,0.269226,no
Gr22e,chr2L:1784061-1785286,warm,cold,NOTEST,0.0558031,0.0232124,-1.26545,0,1,1,no
wry,chr2L:1836534-1881480,warm,cold,OK,9.47661,8.56498,-0.145922,-0.28933,0.5289,0.691592,no
CG7295,chr2L:1836534-1881480,warm,cold,OK,60.1189,72.7668,0.27546,0.809958,0.12685,0.244595,no
CR44075,chr2L:1836534-1881480,warm,cold,OK,3.72142,4.64937,0.321179,0.152947,0.73755,0.84884,no
CG7337,chr2L:1884621-1944339,warm,cold,OK,33.7793,42.1398,0.319042,1.32531,0.00225,0.00803232,yes
Der-1,chr2L:1973930-1980755,warm,cold,OK,43.7914,36.0378,-0.281138,-1.17222,0.0352,0.0854692,no
CG15362,chr2L:1981175-1982099,warm,cold,OK,21.5721,16.9329,-0.349333,-1.39215,0.0199,0.0533737,no
CG7289,chr2L:1982216-1987788,warm,cold,OK,24.3151,19.2625,-0.336056,-0.615728,0.20495,0.351343,no
Npc2a,chr2L:1988289-1988940,warm,cold,OK,39.0455,28.3853,-0.460013,-2.14367,0.0019,0.00689107,yes
CR42874,chr2L:1989449-1990894,warm,cold,NOTEST,0.308382,0.309606,0.00571485,0,1,1,no
CR43464,chr2L:1997101-2006313,warm,cold,OK,1.324,1.49066,0.171054,0.197023,0.66055,0.796136,no
Nplp4,chr2L:2008455-2009072,warm,cold,OK,4.57616,13.7541,1.58765,2.14533,0.00015,0.000684556,yes
CG4238,chr2L:2009858-2030788,warm,cold,OK,13.7792,11.4655,-0.265193,-1.06938,0.01865,0.0504562,no
Su(dx),chr2L:2037713-2044408,warm,cold,OK,24.8838,21.312,-0.223543,-0.957362,0.03305,0.0812164,no
Kebab,chr2L:2045493-2048054,warm,cold,OK,5.5419,4.55056,-0.284339,-0.801017,0.06785,0.147859,no
Or22c,chr2L:2054588-2057967,warm,cold,NOTEST,0.0938675,0.0430266,-1.1254,0,1,1,no
CG12674,chr2L:2058789-2109878,warm,cold,OK,14.8478,19.3044,0.378686,1.01556,0.05435,0.123045,no
CR44055,chr2L:2058789-2109878,warm,cold,OK,19.9359,20.8985,0.0680331,0.143215,0.75005,0.858071,no
GlyP,chr2L:2130807-2145187,warm,cold,OK,214.955,502.172,1.22415,4.51094,5.00E-05,0.000245228,yes
"AIF,CG15382,CG7261",chr2L:2145296-2178787,warm,cold,OK,59.5406,52.6603,-0.177159,-0.608543,0.2017,0.347232,no
CR43751,chr2L:2181961-2185495,warm,cold,NOTEST,0.0743585,0.222477,1.58108,0,1,1,no
CR44065,chr2L:2189912-2192386,warm,cold,OK,1.90127,3.11317,0.711422,0.443635,0.3254,0.495648,no
CG34174,chr2L:2214265-2216311,warm,cold,OK,3.41206,3.12044,-0.128894,-0.156405,0.722,0.838561,no
mio,chr2L:2217289-2220625,warm,cold,OK,10.7154,15.6165,0.543393,2.23138,5.00E-05,0.000245228,yes
"l(2)s5379,papi",chr2L:2220727-2240638,warm,cold,OK,113.165,97.2778,-0.218248,-0.648057,0.1733,0.309661,no
CR44115,chr2L:2220727-2240638,warm,cold,NOTEST,0.641968,0,#NAME?,0,1,1,no
"CG31686,CG4267",chr2L:2242349-2247383,warm,cold,OK,50.9461,66.6977,0.388666,1.23342,0.0078,0.0236825,yes
CG17234,chr2L:2253044-2253852,warm,cold,OK,0.329138,2.73549,3.05504,3.29381,0.0007,0.00281524,yes
CG4270,chr2L:2263397-2265404,warm,cold,OK,88.3904,96.2499,0.122895,0.558228,0.38035,0.553049,no
CG4271,chr2L:2285130-2286873,warm,cold,OK,19.2957,23.8791,0.307467,1.18357,0.0481,0.111022,no
CG31949,chr2L:2300102-2300888,warm,cold,OK,102.569,131.881,0.362641,1.49265,0.00095,0.00372561,yes
CG16995,chr2L:2307947-2365273,warm,cold,OK,1.79106,2.77845,0.633465,0.231334,0.7302,0.843914,no
eys,chr2L:2307947-2365273,warm,cold,OK,7.39197,6.60714,-0.161932,-0.255007,0.5818,0.736188,no
Axud1,chr2L:2365344-2375697,warm,cold,OK,5.2119,4.59383,-0.182113,-0.260328,0.5752,0.730825,no
CG15390,chr2L:2365344-2375697,warm,cold,OK,4.29337,4.70961,0.133495,0.0719474,0.86955,0.930618,no
CG9866,chr2L:2375840-2380506,warm,cold,OK,7.8128,6.19411,-0.334943,-1.15341,0.0113,0.0326328,yes
Eogt,chr2L:2381096-2383073,warm,cold,OK,7.02031,6.72693,-0.0615877,-0.185332,0.68665,0.813818,no
CG9870,chr2L:2383201-2385873,warm,cold,OK,2.03337,1.47732,-0.460892,-0.432946,0.40225,0.574782,no
VGlut,chr2L:2391659-2417965,warm,cold,OK,9.32168,7.4834,-0.316895,-0.389214,0.3922,0.564585,no
CG9886,chr2L:2420829-2424647,warm,cold,OK,11.0061,6.00733,-0.873503,-2.74681,5.00E-05,0.000245228,yes
CG44139,chr2L:2424796-2425041,warm,cold,OK,11.187,5.60737,-0.996421,-3.57371,0.0669,0.146193,no
dpp,chr2L:2428371-2459823,warm,cold,OK,4.96088,8.52742,0.781512,2.72127,5.00E-05,0.000245228,yes
oaf,chr2L:2492954-2498846,warm,cold,OK,13.9075,15.1794,0.126255,0.392014,0.38105,0.553658,no
CR44113,chr2L:2555749-2556089,warm,cold,NOTEST,0.454115,0.412959,-0.13706,0,1,1,no
CG9883,chr2L:2577686-2585465,warm,cold,OK,1.30285,1.66414,0.353103,0.136842,0.79895,0.888529,no
Arpc5,chr2L:2577686-2585465,warm,cold,OK,31.1665,29.9777,-0.0561049,-0.0821397,0.8833,0.937723,no
CG15394,chr2L:2591868-2592773,warm,cold,OK,108.775,43.3072,-1.32867,-4.6277,5.00E-05,0.000245228,yes
CG15395,chr2L:2609993-2611283,warm,cold,OK,7.86691,3.55507,-1.14592,-3.19556,5.00E-05,0.000245228,yes
CG43403,chr2L:2620186-2620782,warm,cold,OK,3.32533,0.341253,-3.28459,-2.60137,0.0047,0.0153676,yes
CR43852,chr2L:2646029-2646281,warm,cold,OK,15.5357,9.71205,-0.67774,-2.93528,0.0834,0.175033,no
CG43851,chr2L:2647883-2652375,warm,cold,OK,15.5299,21.0606,0.439494,0.544487,0.4267,0.599857,no
Prosbeta4R1,chr2L:2653045-2653926,warm,cold,OK,22.0981,21.0385,-0.0708884,-0.298499,0.6219,0.767597,no
"Or23a,Prosbeta4R2",chr2L:2654048-2657126,warm,cold,OK,90.7299,99.8776,0.138583,0.545208,0.22875,0.38287,no
CG9879,chr2L:2665061-2666264,warm,cold,OK,14.5543,19.46,0.419069,1.63442,0.0023,0.00817624,yes
Gr23a,chr2L:2669822-2672186,warm,cold,NOTEST,0.312993,0.46952,0.585056,0,1,1,no
CG31690,chr2L:2674824-2719431,warm,cold,OK,1.98837,2.55027,0.359066,0.983346,0.04355,0.102054,no
CG31689,chr2L:2725673-2739836,warm,cold,OK,59.0237,27.0315,-1.12665,-4.79053,5.00E-05,0.000245228,yes
mir-4914,chr2L:2725673-2739836,warm,cold,NOTEST,0,0,0,0,1,1,no
Hrs,chr2L:2739985-2758085,warm,cold,OK,12.8934,14.6902,0.18822,0.17246,0.7204,0.837938,no
Cwc25,chr2L:2739985-2758085,warm,cold,OK,4.88772,7.4578,0.609589,0.338507,0.472,0.641853,no
CG9894,chr2L:2739985-2758085,warm,cold,OK,197.181,112.447,-0.810273,-1.41209,0.0021,0.00754239,yes
Trn-SR,chr2L:2759824-2765703,warm,cold,OK,3.44173,2.07921,-0.727095,-1.53153,0.0023,0.00817624,yes
"CG2862,Taf10,aph-1",chr2L:2766160-2772161,warm,cold,OK,136.857,119.796,-0.192087,-0.783437,0.24875,0.40729,no
Syt1,chr2L:2779173-2799979,warm,cold,OK,27.43,26.9599,-0.0249403,-0.0242203,0.98105,0.98856,no
Syt1,chr2L:2779173-2799979,warm,cold,OK,23.8807,25.9818,0.121657,0.171772,0.72425,0.840184,no
Syt1,chr2L:2779173-2799979,warm,cold,OK,16.6021,22.2634,0.423305,0.503467,0.3223,0.492004,no
CR43821,chr2L:2779173-2799979,warm,cold,OK,7.98955,12.0647,0.594609,0.209261,0.6323,0.774486,no
daw,chr2L:2805260-2812376,warm,cold,OK,17.9285,8.81902,-1.02357,-3.79229,5.00E-05,0.000245228,yes
CG2964,chr2L:2812436-2815802,warm,cold,OK,29.3788,20.499,-0.51922,-1.74753,0.00085,0.00336809,yes
Cpr23B,chr2L:2838410-2839547,warm,cold,NOTEST,0.0216961,0.106964,2.30162,0,1,1,no
CG2975,chr2L:2840039-2844513,warm,cold,OK,7.38371,7.08639,-0.059294,-0.147938,0.78365,0.879126,no
CG2983,chr2L:2847550-2855778,warm,cold,OK,7.09799,7.28346,0.0372121,0.0813994,0.86415,0.927787,no
"CG2991,CG8813,RpS21",chr2L:2855970-2874509,warm,cold,OK,403.278,440.184,0.126334,0.406277,0.52795,0.690841,no
CG8814,chr2L:2874871-2885850,warm,cold,OK,39.1249,19.7598,-0.985515,-2.33205,5.00E-05,0.000245228,yes
"CG31950,betaggt-II",chr2L:2874871-2885850,warm,cold,OK,23.066,20.2435,-0.18831,-0.295243,0.61555,0.763063,no
lilli,chr2L:2885913-2954428,warm,cold,OK,12.7922,15.0294,0.232531,0.865558,0.04695,0.10875,no
Rbp9,chr2L:2954761-2972676,warm,cold,OK,78.1521,85.4187,0.128267,0.528176,0.25,0.40877,no
"CG3165,gammaTub23C",chr2L:2972755-2979354,warm,cold,OK,25.2358,26.1269,0.0500658,0.154926,0.76615,0.868587,no
Bem46,chr2L:2988115-2992759,warm,cold,OK,11.9016,13.1252,0.141179,0.445323,0.32935,0.500054,no
CG3558,chr2L:2992869-2998961,warm,cold,OK,18.6145,19.3446,0.0555043,0.233564,0.6033,0.752931,no
CG17265,chr2L:2999285-3016069,warm,cold,OK,1.25949,4.0377,1.6807,4.37649,5.00E-05,0.000245228,yes
CG17264,chr2L:3018507-3029168,warm,cold,OK,1.60232,2.34387,0.548735,0.634022,0.19715,0.341688,no
CG3542,chr2L:3018507-3029168,warm,cold,OK,4.74476,6.27136,0.402443,0.754377,0.10685,0.21428,no
"CG17219,GABPI",chr2L:3029252-3035367,warm,cold,OK,17.4008,10.4567,-0.734726,-1.72954,0.0005,0.00207223,yes
CG17260,chr2L:3035459-3039812,warm,cold,OK,19.5802,16.0163,-0.28985,-0.718003,0.1705,0.306604,no
CG17221,chr2L:3039975-3041890,warm,cold,OK,14.9423,9.29494,-0.684883,-2.15875,5.00E-05,0.000245228,yes
CG17261,chr2L:3042550-3043593,warm,cold,OK,147.879,133.7,-0.145422,-0.57671,0.18845,0.329314,no
v(2)k05816,chr2L:3043778-3056269,warm,cold,OK,112.547,17.6152,-2.67563,-10.9045,5.00E-05,0.000245228,yes
CR43708,chr2L:3043778-3056269,warm,cold,OK,41.9663,8.3623,-2.32726,-2.84824,0.5691,0.726182,no
snRNA:U5:23D,chr2L:3043778-3056269,warm,cold,NOTEST,7.60734,12.2695,0.689611,0,1,1,no
CG3523,chr2L:3056597-3068177,warm,cold,OK,261.761,36.3524,-2.84813,-10.1757,5.00E-05,0.000245228,yes
PpD6,chr2L:3068264-3144786,warm,cold,OK,13.6467,16.395,0.2647,0.287259,0.5925,0.74472,no
CG15403,chr2L:3068264-3144786,warm,cold,OK,35.4095,41.3266,0.222934,0.24474,0.56825,0.725489,no
gkt,chr2L:3159949-3162399,warm,cold,OK,4.98043,4.6959,-0.0848695,-0.269863,0.5873,0.740626,no
Hydr2,chr2L:3163644-3169462,warm,cold,OK,52.6581,72.6211,0.463733,2.03313,5.00E-05,0.000245228,yes
CG15404,chr2L:3173988-3174442,warm,cold,NOTEST,0,0,0,0,1,1,no
CG3347,chr2L:3269436-3271806,warm,cold,OK,4.04819,3.58845,-0.173918,-0.491436,0.29605,0.462566,no
CG3277,chr2L:3304099-3319872,warm,cold,OK,4.51014,5.14831,0.190926,0.323656,0.4527,0.623359,no
CG15406,chr2L:3304099-3319872,warm,cold,OK,76.2373,18.8035,-2.01949,-7.96093,5.00E-05,0.000245228,yes
CG8837,chr2L:3320254-3323141,warm,cold,OK,6.74675,6.29088,-0.10093,-0.335918,0.5185,0.683068,no
CG33281,chr2L:3324233-3326637,warm,cold,OK,16.5189,25.2242,0.610696,2.61952,5.00E-05,0.000245228,yes
CG33282,chr2L:3327902-3329792,warm,cold,OK,8.95911,12.7858,0.51312,1.9142,0.0001,0.000469607,yes
"CG15408,CG3285",chr2L:3330929-3355000,warm,cold,OK,57.2367,19.8439,-1.52824,-4.95082,5.00E-05,0.000245228,yes
CG8838,chr2L:3357617-3373418,warm,cold,OK,121.99,127.018,0.0582729,0.21311,0.7028,0.824584,no
CG34394,chr2L:3357617-3373418,warm,cold,OK,1.82858,3.03117,0.729151,0.324596,0.62985,0.773167,no
CG34394,chr2L:3357617-3373418,warm,cold,OK,20.4688,32.0623,0.647451,1.12033,0.7418,0.852014,no
CG34394,chr2L:3357617-3373418,warm,cold,NOTEST,0.553916,1.39492,1.33245,0,1,1,no
CG34394,chr2L:3357617-3373418,warm,cold,OK,6.34124,7.64277,0.269331,0.107892,0.8231,0.902927,no
Ptpa,chr2L:3377001-3378590,warm,cold,OK,12.6724,9.6769,-0.389071,-1.4028,0.00745,0.0227249,yes
CG34175,chr2L:3398022-3398684,warm,cold,OK,27.7143,27.2266,-0.0256105,-0.109019,0.8658,0.92837,no
