# submitted_item	validated_id	current_symbol
x	FBgn0020337	anon-65Ba
CG8343	FBgn0040502	CG8343
CG30431	FBgn0050431	CG30431
jing	FBgn0086655	jing
CR44169	FBgn0265058	asRNA:CR44169
CG43646,CG43647	unknown ID	-
pk	FBgn0003090	pk
pk	FBgn0041100	park
pwn	FBgn0003174	pwn
pwn	FBal0060922	pwn[unspecified]
CG12164	FBgn0033158	CG12164
CG2137,Cyt-b5	unknown ID	-
CG2070	FBgn0033203	CG2070
CG8791	FBgn0033234	MFS12
Odc1	FBgn0013307	Odc1
Pabp2,Socs44A	unknown ID	-
LRP1	FBgn0053087	LRP1
Mal-A8	FBgn0033297	Mal-A8
CG14752	FBgn0033307	CG14752
Jon44E	FBgn0001285	Jon44E
PGRP-SC1b	FBgn0033327	PGRP-SC1b
CG13749	FBgn0033353	CG13749
CG13748	FBgn0033355	CG13748
ana	FBgn0011746	ana
ana	FBgn0003701	thr
CG1809,Or45b	unknown ID	-
CG12923,CG30008	unknown ID	-
CG12134	FBgn0033471	CG12134
egr	FBgn0033483	egr
CG33474	FBgn0053474	CG33474
CG12934	FBgn0033541	CG12934
CG7737	FBgn0033584	CG7737
Cpr47Ee	FBgn0033602	Cpr47Ee
CG43114	FBgn0262574	CG43114
lambdaTry	FBgn0043470	lambdaTry
betaTry	FBgn0010357	betaTry
iotaTry	FBgn0015001	iotaTry
CG13188	FBgn0033668	exp
Cct5	FBgn0010621	CCT5
CG13175,Cyp6g1,Cyp6t3,wash	unknown ID	-
CG30047	FBgn0050047	CG30047
CG30043	FBgn0050043	CG30043
CG33012	FBgn0053012	CG33012
CG8501	FBgn0033724	CG8501
Cpr49Ac	FBgn0033725	Cpr49Ac
CG13157	FBgn0033732	CG13157
CG30054	FBgn0050054	CG30054
CG17760	FBgn0033756	CG17760
CG12374	FBgn0033774	CG12374
CG13321	FBgn0033787	CG13321
CG13325	FBgn0033792	CG13325
CG33137,CG33138	unknown ID	-
Mp20	FBgn0002789	Mp20
AttC	FBgn0041579	AttC
EfTuM	FBgn0024556	mEFTu1
Cpr50Cb	FBgn0033869	Cpr50Cb
CG13339	FBgn0033871	CG13339
mam	FBgn0002643	mam
Mdr50	FBgn0010241	Mdr50
conv	FBgn0261269	conv
Arc2	FBgn0033928	Arc2
CG30075	FBgn0050075	CG30075
CG12869	FBgn0033943	CG12869
Uhg5,snoRNA:Me28S-C3227b,snoRNA:Me28S-G2703b	unknown ID	-
CG10139	FBgn0033951	CG10139
Dro	FBgn0010388	Dro
AttA	FBgn0012042	AttA
mus210	FBgn0004698	Xpc
CG30471	FBgn0050471	CG30471
CG42524	FBgn0260429	CG42524
CG33460	FBgn0053460	CG33460
Jhe	FBgn0010052	Jhe
Nox	FBgn0085428	Nox
CG33459	FBgn0053459	CG33459
CG5210	FBgn0013763	Idgf6
CG5522	FBgn0034158	CG5522
CG5550	FBgn0034160	CG5550
CG43788,CG43789,Pkc53E	unknown ID	-
CG9640,RhoGEF2	unknown ID	-
Acp54A1	FBgn0083936	Acp54A1
CG4802,Lhr	unknown ID	-
veil	FBgn0034225	veil
CG4847	FBgn0034229	CG4847
CG5002	FBgn0034275	CG5002
grh	FBgn0259211	grh
CG10910	FBgn0034289	CG10910
CG34386	FBgn0085415	CG34386
CG10916	FBgn0034312	CG10916
CG14500	FBgn0034318	CG14500
fj	FBgn0000658	fj
CG18107,IM1	unknown ID	-
IM2	FBgn0025583	BomS2
CG16836,IM3	unknown ID	-
CG15065	FBgn0040734	BomS5
GstE1	FBgn0034335	GstE1
Pepck,Rgk2	unknown ID	-
pncr016:2R	FBgn0062961	lncRNA:CR33942
Cyp12b2	FBgn0034387	Cyp12b2
CG15080	FBgn0034391	CG15080
Dpt	FBgn0034407	DptB
Dpt	FBgn0004240	DptA
abba	FBgn0265356	tn
CG11961	FBgn0034436	CG11961
Obp56a	FBgn0034468	Obp56a
Obp56h	FBgn0034475	Obp56h
Obp57a,Obp57b,Obp57c	unknown ID	-
CG30154	FBgn0050154	CG30154
CG18067	FBgn0034512	Bbd
CG9236,IM14,Ipk1	unknown ID	-
Acox57D-p	FBgn0034628	Acox57D-p
CG43243	FBgn0262888	asRNA:CR43243
CG4021	FBgn0034659	CG4021
CG5819	FBgn0034717	CG5819
wrapper	FBgn0025878	wrapper
CG13510,CG13511,CG42565	unknown ID	-
CG42867	FBgn0262141	CG42867
blw	FBgn0011211	blw
stl	FBgn0086408	stl
stl	FBgn0064138	stalker
CG30272	FBgn0050272	MFS1
CG3649	FBgn0034785	CG3649
twi	FBgn0003900	twi
twi	FBtp0000706	P{GAL4-twi.G}
l(2)k09913,proPO59	unknown ID	-
CG43207	FBgn0262843	CG43207
CG34423,CG34424	unknown ID	-
St1	FBgn0034887	St1
Sesn	FBgn0034897	Sesn
Alas,Fmo-1	unknown ID	-
CG16786	FBgn0034974	CG16786
Dat,spag	unknown ID	-
Cyp9c1	FBgn0015040	Cyp9c1
CG3640	FBgn0035042	CG3640
CG3663	FBgn0035044	CG3663
CG3829	FBgn0035091	CG3829
gsb	FBgn0001148	gsb
gsb	FBgn0001147	gsb-n
Gprk1	FBgn0260798	Gprk1
CG44102	FBgn0264911	CG44102
TpnC41C	FBgn0013348	TpnC41C
gus	FBgn0026238	gus
gus	FBgn0270927	betaGlu
CG30440	FBgn0050440	CG30440
TpnC4	FBgn0033027	TpnC4
TpnC4	FBgn0013348	TpnC41C
CG7791	FBgn0033038	CG7791
CG7881	FBgn0033048	CG7881
CG34212	FBgn0085241	CG34212
CG11211	FBgn0033067	CG11211
Cyp9b1	FBgn0015038	Cyp9b1
Cyp9b2	FBgn0015039	Cyp9b2
Ady43A	FBgn0026602	Adk3
CG30503,kappaB-Ras	unknown ID	-
Aldh-III,CG11141,p47	unknown ID	-
blow	FBgn0004133	blow
CG12826	FBgn0033207	CG12826
5-Sep	unknown ID	-
ACC	FBgn0033246	ACC
CG11191	FBgn0033249	CG11191
CG14762	FBgn0033250	CG14762
CG12769	FBgn0033252	CG12769
CG30373	FBgn0050373	CG30373
CG34217	FBgn0085246	CG34217
CG30371	FBgn0050371	CG30371
Mal-A3	FBgn0002571	Mal-A3
CG8736	FBgn0033308	CG8736
shrb	FBgn0086656	shrb
CG8008	FBgn0033387	CG8008
CG12158	FBgn0040775	CG12158
CG1888	FBgn0033421	CG1888
Mmp2	FBgn0033438	Mmp2
CG1648	FBgn0033446	CG1648
CG34220	FBgn0085249	CG34220
dgo	FBgn0086898	dgo
dgo	FBgn0001122	Galphao
CG30016	FBgn0050016	CG30016
Cyp12d1-p	FBgn0050489	Cyp12d1-p
CG13215	FBgn0033592	CG13215
Listericin	FBgn0033593	Listericin
Cpr47Ea	FBgn0033597	Cpr47Ea
Cpr47Ef	FBgn0033603	Cpr47Ef
TpnC47D	FBgn0010423	TpnC47D
zetaTry	FBgn0011556	zetaTry
etaTry	FBgn0011554	etaTry
thetaTry	FBgn0011555	thetaTry
CG30025,CG30031,alphaTry	unknown ID	-
CG34054	FBgn0054054	CG34054
en	FBgn0000577	en
en	FBtp0055689	P{en-GAL4.U}
Damm	FBgn0033659	Damm
CG13183	FBgn0033667	reb
skpB	FBgn0026176	SkpB
Cct5	FBgn0010621	CCT5
Cct5	FBgn0010621	CCT5
CG8850	FBgn0033708	CG8850
Obp49a	FBgn0050052	Obp49a
CG30486,CG30488	unknown ID	-
CG3790	FBgn0033778	Balat
Mdr49	FBgn0004512	Mdr49
CG3884	FBgn0265185	CG44250
CG3884	FBgn0265186	CG44251
CG13323	FBgn0033788	CG13323
CG4670,Pex13	unknown ID	-
CG42808	FBgn0261990	CG42808
CG34236	FBgn0085265	CG34236
SelD	FBgn0261270	Sps1
Arc1	FBgn0033926	Arc1
CG12868	FBgn0033945	CG12868
CG33469	FBgn0053469	CG33469
CG33468	FBgn0053468	CG33468
Sfp51E	FBgn0259966	Sfp51E
Fs	FBgn0259878	Fs
Fs	FBgn0004651	Fs(2)M
Fs	FBal0000320	Adh[Fs]
Fs	FBal0004646	Fs(2)M[1]
CG8192	FBgn0034030	CG8192
CG33465	FBgn0053465	CG33465
CG8299	FBgn0034052	CG8299
ATPCL	FBgn0020236	ATPCL
CG30098	FBgn0050098	CG30098
CG8311	FBgn0034141	CG8311
Picot	FBgn0024315	Picot
CG43104	FBgn0262564	lncRNA:CR43104
Acp53Ea	FBgn0015584	Acp53Ea
CR43417	FBgn0263336	lncRNA:CR43417
tef	FBgn0086350	tef
tef	FBgn0045035	tefu
tef	FBal0124928	tefu[1]
GstS1	FBgn0010226	GstS1
CG30101	FBgn0050101	Vajk4
CG14482,Dcr-2	unknown ID	-
CG10936	FBgn0034253	CG10936
swi2	FBgn0034262	swi2
proPO-A1	FBgn0283437	PPO1
CG17680	FBgn0062440	EMRE
IM23	FBgn0034328	BomBc1
CG30118	FBgn0284257	Ttd14
CG15093	FBgn0034390	CG15093
l(2)08717	FBgn0010651	MFS14
l(2)08717	FBal0008141	MFS14[08717]
Jheh1	FBgn0010053	Jheh1
Jheh2	FBgn0034405	Jheh2
Jheh3	FBgn0034406	Jheh3
sano	FBgn0034408	sano
CG15116	FBgn0034415	CG15116
Rgk1	FBgn0264753	Rgk1
CG9416	FBgn0034438	CG9416
cer,hts	unknown ID	-
betaTub56D	FBgn0284243	betaTub56D
CG16926	FBgn0040732	CG16926
Obp56d	FBgn0034470	Obp56d
CG16898	FBgn0034480	CG16898
CG9090	FBgn0034497	Mpcp1
Cpr56F	FBgn0034499	Cpr56F
CG11200,CG13868	unknown ID	-
CG30151	FBgn0050151	CG30151
CG13428	FBgn0034515	CG13428
IM4	FBgn0040653	Dso1
CG15649	FBgn0034563	CG15649
Cht9	FBgn0034582	Cht9
CG4302	FBgn0027073	Ugt49B1
CG9822	FBgn0034623	CG9822
CG17974	FBgn0034624	CG17974
cv-2	FBgn0000395	cv-2
clt	FBgn0000326	clt
clt	FBal0001714	clt[1]
pirk	FBgn0034647	pirk
CG30403	FBgn0050403	CG30403
CG13492	FBgn0034662	CG13492
CG34040	FBgn0054040	CG34040
CG4363	FBgn0034663	CG4363
CG30401	FBgn0050401	dany
CG3290	FBgn0283480	Alp2
Oatp58Db	FBgn0034715	Oatp58Db
T3dh	FBgn0017482	T3dh
babos	FBgn0034724	babos
CG4294	FBgn0034742	CG4294
Ugt58Fa	FBgn0040091	Ugt317A1
CG3831	FBgn0034804	CG3831
CG9896	FBgn0034808	CG9896
Rrp4	FBgn0034879	Rrp4
CG9850	FBgn0034903	sona
CG4797	FBgn0034909	pippin
CG34213	FBgn0085242	CG34213
CG30172	FBgn0050172	CG30172
CG15873	FBgn0035003	CG15873
CG4781	FBgn0035043	CG4781
CG12848,Eps-15,GstE12	unknown ID	-
ETH,Orc4	unknown ID	-
Ance-5	FBgn0035076	Ance-5
CG30427	FBgn0043792	CG30427
CG2765	FBgn0035087	CG2765
CG30424	FBgn0050424	CG30424
CG2736	FBgn0035090	CG2736
Peb	FBgn0003053	peb
Peb	FBgn0003041	pbl
Peb	FBgn0004181	Ebp
CG42596	FBgn0260995	dpr21
CG40498	FBgn0069969	CG40498
Yeti	FBgn0267398	Yeti
Scp1	FBgn0020908	Scp1
Lsp1gamma	FBgn0002564	Lsp1gamma
CG13875	FBgn0035104	CG13875
CG13890	FBgn0035169	Dci
CG13905	FBgn0035176	mat
CG13912	FBgn0035186	CG13912
CG34022,mwh	unknown ID	-
LysB	FBgn0004425	LysB
LysE	FBgn0004428	LysE
CG9194	FBgn0035192	galene
CG32333	FBgn0052333	CG32333
Rabex-5,scf	unknown ID	-
Myo61F	FBgn0010246	Myo61F
mtacp1	FBgn0011361	ND-ACP
CG12024	FBgn0035283	CG12024
CG1140	FBgn0035298	SCOT
CG1139	FBgn0035300	CG1139
ACXD	FBgn0040507	ACXD
Acp62F	FBgn0020509	Acp62F
CG1291	FBgn0035401	Alg2
CG14957	FBgn0035412	CG14957
CG14958	FBgn0035413	CG14958
Hsp83	FBgn0001233	Hsp83
ckd	FBgn0035427	ckd
CG34265	FBgn0085294	CG34265
CG12017	FBgn0035429	CG12017
Drsl2	FBgn0052279	Drsl2
Drsl4	FBgn0052282	Drsl4
Drsl5	FBgn0035434	Drsl5
Sc2	FBgn0035471	Sc2
CG1136	FBgn0035490	CG1136
CG33514	FBgn0053514	CG33514
slow	FBgn0035539	slow
CG11353	FBgn0035557	CG11353
CG4835	FBgn0035607	CG4835
CG5150	FBgn0035620	Alp9
CG43952,yip7	unknown ID	-
Jon65Aiv	FBgn0250815	Jon65Aiv
Jon65Aiii	FBgn0035665	Jon65Aiii
Jon65Aii	FBgn0035666	Jon65Aii
pncr008:3L	FBgn0047000	CG33946
CG42747	FBgn0261801	CG42747
CG14820	FBgn0035718	CG14820
mp	FBgn0260660	Mp
CG14823	FBgn0035734	CG14823
Dbi	FBgn0010387	Acbp2
melt	FBgn0023001	melt
CG14826	FBgn0035750	CG14826
CG32379,CG8562	unknown ID	-
CG18417	FBgn0035780	CG18417
CG8546	FBgn0035785	ppk26
ltl	FBgn0268063	ltl
CG7409	FBgn0035817	CG7409
Hn	FBgn0001208	Hn
CG8281	FBgn0035824	CG8281
CG32368	FBgn0052368	CG32368
exex	FBgn0041156	exex
Cpr66Cb	FBgn0035875	Cpr66Cb
Pex2	FBgn0035876	Pex2
se	FBgn0086348	se
se	FBal0015397	se[1]
se	FBal0050492	se[unspecified]
Cpr66D	FBgn0052029	Cpr66D
CG6511	FBgn0035923	CG6511
CG13309	FBgn0035933	CG13309
GNBP3	FBgn0040321	GNBP3
CG13313	FBgn0035941	CG13313
CG32032	FBgn0043806	CG32032
nwk	FBgn0263456	nwk
nwk	FBal0154819	nwk[1]
Hsp22,Hsp67Bb	unknown ID	-
Hsp23	FBgn0001224	Hsp23
Cpr67B	FBgn0035985	Cpr67B
CG33926	FBgn0053926	CG33926
CG42673	FBgn0261555	CG42673
LanB2	FBgn0267348	LanB2
CG8329	FBgn0036022	CG8329
CG18180	FBgn0036024	CG18180
CG14174,vsg	unknown ID	-
CG34382	FBgn0085411	CG34382
CG14154,CG18628,CG8009	unknown ID	-
